Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,fabulous,no,no,0
A,Read,overflow,yes,yes,1640
A,Read,optimal,no,no,0
A,Read,orchestra,no,yes,0
A,Read,displeasure,no,yes,0
A,Read,cosmetic,no,yes,0
A,Read,homeless,yes,yes,2210
A,Read,touristic,no,yes,0
A,Read,pollution,yes,yes,800
A,Read,humanist,no,yes,0
A,Read,malicious,yes,yes,890
A,Read,famously,no,yes,0
A,Read,disagree,yes,yes,890
A,Read,instructive,no,yes,0
A,Read,salary,no,yes,0
A,Read,invention,no,no,0
A,Read,camera,yes,yes,760
A,Read,protestant,no,yes,0
A,Read,chemical,no,no,0
A,Read,equation,no,yes,0
Total,,,,80,1198
A,Audio,optimal,no,no,0
A,Audio,disagree,yes,yes,1200
A,Audio,overflow,yes,yes,1190
A,Audio,salary,no,yes,0
A,Audio,malicious,yes,yes,1550
A,Audio,humanist,no,yes,0
A,Audio,orchestra,yes,no,0
A,Audio,invention,no,no,0
A,Audio,equation,no,yes,0
A,Audio,fabulous,yes,yes,860
A,Audio,touristic,no,yes,0
A,Audio,protestant,yes,no,0
A,Audio,instructive,yes,no,0
A,Audio,camera,yes,yes,1070
A,Audio,chemical,no,no,0
A,Audio,cosmetic,yes,no,0
A,Audio,famously,yes,no,0
A,Audio,displeasure,no,yes,0
A,Audio,homeless,no,no,0
A,Audio,pollution,yes,yes,1680
Total,,,,55,1258

